,Type,Lat,Long,Depth,Date,YN_Lat,YN_Lon,YN_Depth,Phi,Delta-a,Delta-b,Depth_err,Seconds,Time_err,12P,12P_EC,14P,14P_EC,15P,15P_EC,16P,16P_EC,12S,12S_EC,14S,14S_EC,15S,15S_EC,16S,16S_EC,Year,Day,H,M,S,Magnitude,Comments,AI,Y,JD,Hour,Min,Sec,A,Side,Lat_err,Long_err,Assumed
0,12 LM,-3.94,-21.2,0.0,6911202217.0,-3.94,-21.2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13 S-IVB,-2.75,-27.86,0.0,7004150209.0,-2.75,-27.86,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14 S-IVB,-8.09,-26.02,0.0,7102040740.0,-8.09,-26.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14 LM,-3.42,-19.67,0.0,7102070045.0,-3.42,-19.67,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15 S-IVB,-1.51,-11.81,0.0,7107292058.0,1.51,-11.81,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15 LM,26.36,0.25,0.0,7108030303.0,26.36,0.25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17 S-IVB,-4.21,-12.31,0.0,7212102032.0,-4.21,-12.31,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,M,1.2,-16.49,0.0,7205130846.0,1.5,-17.1,0.0,52.0,0.3,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,M,23.42,7.23,0.0,7207311808.0,24.0,10.1,0.0,-7.0,0.7,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,M,15.19,20.57,0.0,7208292258.0,15.8,22.9,0.0,20.0,2.9,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,M,-17.94,-20.74,0.0,7312241003.0,-24.8,-25.1,0.0,59.0,5.2,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,M,20.35,6.49,0.0,7407171205.0,20.3,6.5,0.0,9.0,0.8,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,M,-8.88,21.73,0.0,7411211315.0,-7.3,19.9,0.0,52.0,1.0,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,M,2.44,-8.07,0.0,7412150907.0,1.6,-8.2,0.0,-85.0,1.3,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,M,-49.93,3.42,0.0,7503052149.0,-52.4,4.2,0.0,-77.0,4.0,2.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,M,-14.33,-8.95,0.0,7605280602.0,-16.8,-10.0,0.0,67.0,2.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,M,70.76,2.71,0.0,7201040631.0,74.1,2.6,0.0,16.0,2.7,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,M,28.16,37.94,0.0,7309262046.0,28.7,41.1,0.0,39.0,4.1,2.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,M,7.64,-34.55,0.0,7404191829.0,7.4,-33.6,0.0,-5.0,2.2,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,M,3.14,41.61,0.0,7504121812.0,2.0,43.2,0.0,-11.0,4.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,M,-38.17,59.78,0.0,7601130711.0,-39.4,62.8,0.0,55.0,2.7,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,M,-18.5,-59.98,0.0,7704172332.0,-20.5,-63.8,0.0,23.0,1.8,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,M,-9.82,-73.54,0.0,7706282222.0,-13.5,-75.3,0.0,-84.0,7.7,3.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,M,-36.4,-121.3,0.0,7505040959.0,-36.4,-121.3,0.0,-47.0,3.3,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,M,21.54,-85.07,0.0,7611142312.0,23.8,-73.9,0.0,37.0,1.8,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,M,33.14,137.69,0.0,7309300411.0,32.8,137.6,0.0,-47.0,1.3,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SH,-16.15,-24.62,118.0,7502132203.0,-17.0,-26.1,125.0,44.0,3.0,1.7,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SH,11.99,49.33,10.0,7209171435.0,12.8,51.0,10.0,-20.0,2.9,1.6,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SH,45.84,36.81,2.0,7212062308.0,48.0,38.2,2.0,58.0,3.2,2.7,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SH,64.83,56.25,68.0,7501120314.0,64.1,59.9,21.0,59.0,1.8,0.5,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SH,42.28,32.12,124.0,7601041119.0,44.1,34.0,185.0,76.0,3.2,1.9,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SH,50.23,-24.76,63.0,7603061012.0,52.5,-25.8,134.0,-24.0,1.2,0.7,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SH,25.01,87.09,130.0,7407110046.0,21.9,82.6,0.0,-10.0,2.4,1.9,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SH,27.41,-90.57,0.0,7501030142.0,26.1,-92.7,0.0,42.0,2.4,1.6,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A01,-15.27,-34.04,905.0,7309300410.0,-17.4,-38.4,917.0,-25.0,1.1,0.6,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,A06,47.22,47.57,881.0,7607021052.0,49.7,54.7,860.0,74.0,1.0,0.7,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A07,22.94,48.41,902.0,7607020311.0,24.0,53.7,900.0,-75.0,0.8,0.7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,A08,-28.0,-28.1,940.0,7705161052.0,-28.0,-28.1,940.0,51.0,2.0,1.2,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,A09,-37.8,-30.8,975.0,7704161958.0,-33.66,-27.33,971.0,14.0,4.0,2.6,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,A11,8.83,15.75,1179.0,7706180501.0,9.3,17.5,1200.0,-42.0,0.8,0.7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,A14,-25.82,-30.48,880.0,7305281853.0,-28.7,-33.9,880.0,50.0,1.7,1.3,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,A16,6.66,4.06,1044.0,7210081524.0,6.8,5.1,1105.0,9.0,1.2,0.7,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A17,21.56,-16.27,832.0,7211070852.0,23.1,-18.0,861.0,-47.0,2.6,0.4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,A18,17.54,31.01,860.0,7301052250.0,18.6,34.7,882.0,-67.0,1.8,0.9,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,A20,20.46,-34.84,1021.0,7205151718.0,21.7,-41.0,1055.0,-1.0,2.4,0.8,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,A24,-32.89,-34.32,997.0,7706121817.0,-36.8,-38.9,980.0,57.0,2.1,1.7,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A25,33.31,53.67,922.0,7706092015.0,34.4,59.3,898.0,87.0,2.0,1.7,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,A27,20.12,16.21,1010.0,7705160001.0,22.5,18.5,1059.0,-24.0,1.9,1.4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,A30,11.22,-30.38,896.0,7205170042.0,11.8,-34.3,921.0,-37.0,1.5,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,A33,7.71,113.03,966.0,7210111935.0,6.9,117.8,887.0,-9.0,1.5,1.3,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,A34,6.99,-8.42,882.0,7206141834.0,7.0,-9.3,932.0,-32.0,1.2,0.6,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,A40,-0.9,-10.32,846.0,7306272348.0,-1.6,-10.9,886.0,-80.0,1.2,0.7,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,A41,12.7,-23.1,911.0,7206081616.0,13.9,-26.8,953.0,-28.0,5.6,2.2,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,A42,12.7,-23.1,911.0,7305030152.0,22.7,-53.5,1004.0,-53.0,1.8,1.4,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A44,48.74,49.17,975.0,7405190309.0,51.9,57.1,956.0,-74.0,5.8,1.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,A50,9.36,-47.41,843.0,7304300105.0,9.4,-51.6,835.0,-13.0,2.4,1.5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,A51,8.63,14.42,849.0,7402180835.0,8.8,15.7,888.0,-28.0,1.1,0.5,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A97,-2.36,16.39,955.0,7705190608.0,-3.4,18.7,1000.0,-3.0,2.8,2.3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,12 LM,-3.94,-21.2,0.0,6911202217.0,,,,0.0,0.0,0.0,0.0,17.7,0.0,42.4,2.0,,,,,,,56.29,2.0,,,,,,,,,,,,,,,,,,,,,,,,
59,13 S-IVB,-2.75,-27.86,0.0,7004150209.0,,,,0.0,0.0,0.0,0.0,41.0,0.0,68.8,0.0,,,,,,,89.04,2.0,,,,,,,,,,,,,,,,,,,,,,,,
60,14 S-IVB,-8.09,-26.02,0.0,7102040740.0,,,,0.0,0.0,0.0,0.0,55.4,0.0,90.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,14 LM,-3.42,-19.67,0.0,7102070045.0,,,,0.0,0.0,0.0,0.0,25.7,0.0,46.8,1.0,44.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,15 S-IVB,-1.51,-11.81,0.0,7107292058.0,,,,0.0,0.0,0.0,0.0,42.9,0.0,97.0,1.0,79.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,15 LM,26.36,0.25,0.0,7108030303.0,,,,0.0,0.0,0.0,0.0,37.0,0.0,,,,,64.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,16 S-IVB,1.3,-23.8,0.0,7204192102.0,,,,0.0,0.0,0.0,0.0,4.0,0.0,31.4,0.0,47.5,0.0,150.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,17 S-IVB,-4.21,-12.31,0.0,7212102032.0,,,,0.0,0.0,0.0,0.0,42.3,0.0,98.0,0.0,74.5,0.0,196.5,1.0,164.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,M,74.1,2.6,0.0,7201040631.0,,,,16.0,2.7,1.1,0.0,19.72,1.7,318.0,2.0,315.0,1.0,215.0,1.0,,,542.0,2.0,,,350.0,1.0,,,,,,,,,,,,,,,,,,,,
67,M,1.5,-17.1,0.0,7205130845.0,,,,-52.0,0.3,0.2,0.0,39.49,1.0,84.9,0.0,72.1,0.0,173.5,0.0,181.0,0.0,,,97.5,2.0,,,,,,,,,,,,,,,,,,,,,,
68,M,32.8,137.6,0.0,7207172150.0,,,,-47.0,1.3,1.1,0.0,57.9,4.4,473.7,0.0,483.0,0.0,418.2,0.0,445.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,M,24.0,10.1,0.0,7207311808.0,,,,-7.0,0.7,0.3,0.0,15.72,2.3,193.4,1.0,174.7,0.0,52.6,0.0,,,285.0,2.0,,,82.0,1.0,,,,,,,,,,,,,,,,,,,,
70,M,15.8,22.9,0.0,7208292258.0,,,,20.0,2.9,1.6,0.0,33.57,3.5,,,210.0,2.0,132.0,2.0,145.0,2.0,,,344.0,2.0,190.0,2.0,,,,,,,,,,,,,,,,,,,,
71,M,28.7,41.1,0.0,7309262046.0,,,,39.0,4.1,2.4,0.0,16.32,4.5,295.0,2.0,280.0,2.0,155.0,1.0,192.0,2.0,,,,,255.0,2.0,,,,,,,,,,,,,,,,,,,,
72,M,-24.8,-25.1,0.0,7312241003.0,,,,59.0,5.2,1.8,0.0,19.35,4.5,119.0,1.0,113.0,1.0,250.9,1.0,190.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
73,M,7.4,-33.6,0.0,7404191830.0,,,,-5.0,2.2,0.9,0.0,3.27,1.8,70.9,1.0,97.0,1.0,168.3,1.0,209.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,M,20.3,6.5,0.0,7407171205.0,,,,9.0,0.8,0.6,0.0,2.89,3.7,153.4,1.0,148.7,1.0,40.6,1.0,132.1,1.0,,,,,69.0,2.0,,,,,,,,,,,,,,,,,,,,
75,M,-7.3,19.9,0.0,7411211315.0,,,,52.0,1.0,0.7,0.0,40.79,2.2,222.9,1.0,193.0,1.0,182.7,2.0,70.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,M,1.6,-8.2,0.0,7412150907.0,,,,-85.0,1.3,0.5,0.0,15.17,3.8,95.1,1.0,66.6,1.0,,,128.1,1.0,,,109.3,2.0,208.2,2.0,,,,,,,,,,,,,,,,,,,,
77,M,-52.4,4.2,0.0,7503052149.0,,,,-77.0,4.0,2.3,0.0,22.3,7.2,236.1,2.0,225.0,2.0,,,209.7,2.0,398.0,2.0,,,,,330.0,2.0,,,,,,,,,,,,,,,,,,
78,M,2.0,43.2,0.0,7504121812.0,,,,-11.0,4.5,0.5,0.0,38.22,0.7,298.1,0.0,277.8,1.0,220.6,0.0,162.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,M,-36.4,-121.3,0.0,7505040959.0,,,,-47.0,3.3,1.1,0.0,28.99,2.3,360.6,0.0,376.1,0.0,436.0,1.0,413.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,M,-39.4,62.8,0.0,7601130711.0,,,,55.0,2.7,2.0,0.0,22.8,6.0,332.7,1.0,338.1,2.0,333.8,1.0,236.0,1.0,,,,,,,357.9,2.0,,,,,,,,,,,,,,,,,,
81,M,-16.8,-10.0,0.0,7605280601.0,,,,67.0,2.0,0.6,0.0,56.38,5.4,163.7,2.0,126.5,1.0,,,169.0,1.0,216.0,2.0,169.0,2.0,373.0,2.0,,,,,,,,,,,,,,,,,,,,
82,M,23.8,-73.9,0.0,761142313.0,,,,37.0,1.8,0.8,0.0,6.67,0.9,228.6,0.0,246.9,0.0,273.8,1.0,337.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
83,M,-20.5,-63.8,0.0,7704712332.0,,,,23.0,1.8,0.8,0.0,6.03,0.7,183.7,1.0,197.8,1.0,306.4,0.0,298.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,M,-13.5,-75.3,0.0,7706282222.0,,,,-84.0,7.7,3.1,0.0,31.17,3.8,239.9,1.0,250.0,2.0,344.0,2.0,358.5,2.0,390.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
85,SH,12.8,51.0,,7209171435.0,,,,-20.0,2.9,109.0,109.0,3.0,2.5,,,278.0,2.0,186.0,1.0,170.0,2.0,,,460.0,2.0,322.0,2.0,285.0,2.0,,,,,,,,,,,,,,,,,,
86,SH,48.0,38.2,10.0,7212062308.0,,,,58.0,3.2,110.0,110.0,33.4,7.4,,,302.0,2.0,167.0,2.0,280.0,2.0,,,507.0,2.0,278.0,2.0,430.0,2.0,,,,,,,,,,,,,,,,,,
87,SH,21.9,82.6,2.0,7407110046.0,,,,-10.0,2.4,63.0,63.0,18.26,1.3,377.1,1.0,365.4,2.0,296.0,2.0,297.7,0.0,655.9,2.0,,,485.1,2.0,,,,,,,,,,,,,,,,,,,,
88,SH,26.1,-92.7,0.0,7501030141.0,,,,42.0,2.4,38.0,38.0,58.36,6.8,334.3,1.0,350.8,1.0,363.1,1.0,434.9,1.0,543.0,2.0,581.0,2.0,608.0,2.0,730.0,2.0,,,,,,,,,,,,,,,,,,
89,SH,64.1,59.9,0.0,7501120313.0,,,,59.0,1.8,14.0,14.0,51.74,0.6,,,360.0,2.0,260.0,2.0,350.0,2.0,612.9,2.0,,,400.0,0.0,567.6,0.0,,,,,,,,,,,,,,,,,,
90,SH,-17.0,-26.1,21.0,7502132203.0,,,,44.0,3.0,112.0,112.0,50.78,0.7,,,117.9,1.0,248.0,2.0,210.0,2.0,154.4,2.0,167.8,2.0,,,321.7,2.0,,,,,,,,,,,,,,,,,,
91,SH,44.1,34.0,125.0,7601041118.0,,,,76.0,3.2,179.0,179.0,54.92,0.3,,,298.0,2.0,175.1,2.0,262.0,1.0,,,474.0,2.0,259.0,2.0,412.0,2.0,,,,,,,,,,,,,,,,,,
92,SH,52.5,-25.8,185.0,7603061012.0,,,,-24.0,1.2,51.0,51.0,22.08,2.0,236.9,1.0,233.2,0.0,158.6,1.0,282.6,1.0,381.3,1.0,387.7,1.0,251.2,2.0,466.1,2.0,,,,,,,,,,,,,,,,,,
93,A01,-17.4,-38.4,917.0,7309300410.0,,,,-25.0,1.1,0.6,11.0,58.84,0.8,192.4,0.0,194.8,0.0,251.0,0.0,239.7,1.0,290.5,1.0,300.6,2.0,396.8,0.0,377.8,2.0,,,,,,,,,,,,,,,,,,
94,A06,49.7,54.7,860.0,7607021052.0,,,,74.0,1.0,0.7,11.0,25.31,2.6,259.4,0.0,258.2,0.0,191.6,0.0,235.2,0.0,444.7,0.0,433.3,1.0,316.9,1.0,377.9,1.0,,,,,,,,,,,,,,,,,,
95,A07,24.0,53.7,900.0,7607020311.0,,,,-75.0,0.8,0.7,12.0,24.18,0.6,251.2,0.0,242.0,0.0,191.4,0.0,198.8,1.0,426.1,1.0,408.2,0.0,314.5,1.0,332.4,1.0,,,,,,,,,,,,,,,,,,
96,A08,-28.0,-28.1,940.0,7705161052.0,,,,51.0,2.0,1.2,21.0,29.35,3.0,173.2,1.0,174.0,1.0,,,189.9,1.0,270.5,1.0,276.3,0.0,,,328.9,1.0,,,,,,,,,,,,,,,,,,
97,A09,-37.8,-30.8,975.0,7704161958.0,,,,14.0,4.0,2.6,43.0,4.27,0.9,167.5,2.0,159.7,1.0,,,,0.0,277.1,0.0,277.7,1.0,377.1,2.0,320.3,2.0,,,,,,,,,,,,,,,,,,
98,A11,9.3,17.5,1200.0,7706180501.0,,,,-42.0,0.8,0.7,12.0,16.06,0.7,,,192.2,2.0,173.2,1.0,,0.0,329.3,0.0,319.8,0.0,299.4,0.0,296.4,0.0,,,,,,,,,,,,,,,,,,
99,A14,-28.7,-33.9,880.0,7305281853.0,,,,50.0,1.7,1.3,22.0,12.96,1.3,149.7,1.0,152.5,1.0,,,191.0,1.0,254.8,1.0,260.5,1.0,370.1,1.0,319.7,1.0,,,,,,,,,,,,,,,,,,
100,A16,6.8,5.1,1105.0,721081524.0,,,,9.0,1.2,0.7,18.0,35.48,0.4,,,184.5,2.0,185.4,1.0,185.4,1.0,315.2,1.0,305.5,1.0,298.6,0.0,298.3,1.0,,,,,,,,,,,,,,,,,,
101,A17,23.1,-18.0,861.0,7211070852.0,,,,-47.0,2.6,0.4,15.0,7.94,0.6,143.0,0.0,141.9,1.0,133.3,2.0,178.0,1.0,246.2,1.0,243.9,1.0,228.9,0.0,,,,,,,,,,,,,,,,,,,,
102,A18,18.6,34.7,882.0,7301052250.0,,,,-67.0,1.8,0.9,24.0,30.86,1.5,229.2,2.0,216.2,0.0,188.5,2.0,188.5,1.0,373.2,1.0,357.5,0.0,276.5,1.0,279.6,2.0,,,,,,,,,,,,,,,,,,
103,A20,21.7,-41.0,1055.0,7205151718.0,,,,-1.0,2.4,0.8,13.0,7.15,1.2,,,179.9,2.0,174.3,0.0,204.5,0.0,279.2,0.0,284.1,1.0,,,357.3,1.0,,,,,,,,,,,,,,,,,,
104,A24,-36.8,-38.9,980.0,7706121817.0,,,,57.0,2.1,1.7,32.0,38.54,0.3,196.7,1.0,198.0,1.0,,,,2.0,315.8,2.0,319.7,0.0,417.8,2.0,368.0,1.0,,,,,,,,,,,,,,,,,,
105,A25,34.4,59.3,898.0,7706092015.0,,,,87.0,2.0,1.7,26.0,7.55,1.8,241.3,2.0,242.1,1.0,179.2,0.0,200.7,,,,409.3,1.0,312.7,1.0,345.6,2.0,,,,,,,,,,,,,,,,,,
106,A27,22.5,18.5,1059.0,7705160001.0,,,,-24.0,1.9,1.4,14.0,51.54,1.3,,,236.1,2.0,193.4,0.0,205.9,2.0,366.0,2.0,352.3,1.0,299.9,0.0,338.9,2.0,,,,,,,,,,,,,,,,,,
