,Type,Lat,Long,Depth,Date,YN_Lat,YN_Lon,YN_Depth,Phi,Delta-a,Delta-b,Depth_err,Seconds,Time_err,12P,12P_EC,14P,14P_EC,15P,15P_EC,16P,16P_EC,12S,12S_EC,14S,14S_EC,15S,15S_EC,16S,16S_EC,Year,Day,H,M,S,Magnitude,Comments,AI,Y,JD,Hour,Min,Sec,A,Side,Lat_err,Long_err,Assumed
107,A30,11.8,-34.3,921.0,7205170042.0,,,,-37.0,1.5,1.0,23.0,45.93,0.5,,,181.0,0.0,201.7,1.0,,1.0,273.3,1.0,283.4,1.0,321.4,1.0,365.2,1.0,,,,,,,,,,,,,,,,,,
108,A33,6.9,117.8,887.0,7210111935.0,,,,-9.0,1.5,1.3,30.0,46.79,1.1,369.9,2.0,349.1,0.0,318.0,0.0,311.8,,,,,,528.1,1.0,511.5,1.0,,,,,,,,,,,,,,,,,,
109,A34,7.0,-9.3,932.0,7206141834.0,,,,-32.0,1.2,0.6,26.0,27.24,2.6,154.9,1.0,158.1,1.0,164.4,1.0,,1.0,249.8,1.0,256.5,1.0,265.2,0.0,279.3,1.0,,,,,,,,,,,,,,,,,,
110,A40,-1.6,-10.9,886.0,7306272348.0,,,,-80.0,1.2,0.7,23.0,35.37,0.6,,,,,185.0,2.0,173.1,0.0,247.9,0.0,242.6,1.0,286.7,1.0,277.8,1.0,,,,,,,,,,,,,,,,,,
111,A41,13.9,-26.8,953.0,7206081616.0,,,,-28.0,5.6,2.2,84.0,24.7,3.5,,,163.4,2.0,172.4,2.0,,2.0,247.3,2.0,270.1,2.0,284.1,1.0,325.6,2.0,,,,,,,,,,,,,,,,,,
112,A42,22.7,-53.5,1004.0,7305030152.0,,,,-53.0,1.8,1.4,24.0,35.84,2.2,195.8,1.0,205.6,0.0,229.9,2.0,245.6,1.0,318.9,1.0,331.9,1.0,352.5,1.0,418.0,1.0,,,,,,,,,,,,,,,,,,
113,A44,51.9,57.1,956.0,7405190309.0,,,,-74.0,5.8,1.9,20.0,4.66,1.3,,,235.4,1.0,177.6,1.0,,2.0,434.9,2.0,411.4,0.0,307.4,1.0,376.2,2.0,,,,,,,,,,,,,,,,,,
114,A50,9.4,-51.6,835.0,7304300105.0,,,,-13.0,2.4,1.5,30.0,26.01,3.7,174.2,2.0,174.2,1.0,,,,2.0,292.0,2.0,285.0,1.0,348.1,1.0,397.8,1.0,,,,,,,,,,,,,,,,,,
115,A51,8.8,15.7,888.0,7402180835.0,,,,-28.0,1.1,0.5,22.0,27.4,1.2,,,181.2,2.0,149.0,2.0,,2.0,320.7,2.0,291.1,0.0,254.1,0.0,248.8,1.0,,,,,,,,,,,,,,,,,,
116,A97,-3.4,18.7,1000.0,7705190608.0,,,,-3.0,2.8,2.3,25.0,21.53,2.1,,,180.6,1.0,173.8,1.0,156.0,2.0,310.3,2.0,295.2,2.0,301.1,2.0,251.8,1.0,,,,,,,,,,,,,,,,,,
117,,48.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.0,107.0,7.0,0.0,55.0,2.8,,,,,,,,,,,,
118,,42.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.0,140.0,17.0,25.0,10.0,2.0,,,,,,,,,,,,
119,,43.0,-47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.0,192.0,13.0,24.0,45.0,1.9,Or lat -42 long -60,,,,,,,,,,,
120,,54.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,2.0,22.0,29.0,40.0,1.9,,,,,,,,,,,,
121,,12.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,261.0,14.0,35.0,55.0,1.0,,,,,,,,,,,,
122,,51.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,341.0,23.0,8.0,20.0,1.4,,,,,,,,,,,,
123,,-20.0,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,344.0,3.0,50.0,15.0,1.2,,,,,,,,,,,,
124,,33.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,39.0,22.0,52.0,10.0,0.8,,,,,,,,,,,,
125,,-84.0,-134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,72.0,7.0,56.0,30.0,3.2,,,,,,,,,,,,
126,,-1.0,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,171.0,20.0,22.0,0.0,2.2,,,,,,,,,,,,
127,,-37.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,274.0,3.0,58.0,0.0,1.1,,,,,,,,,,,,
128,,36.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.0,54.0,21.0,16.0,50.0,0.7,,,,,,,,,,,,
129,,-48.0,-106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.0,86.0,9.0,11.0,0.0,1.6,,,,,,,,,,,,
130,,-37.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.0,109.0,13.0,35.0,15.0,0.9,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.0,149.0,20.0,42.0,15.0,0.6,30 degrees from station 16 on east side of station,,,,,,,,,,,
132,,21.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.0,192.0,0.0,46.0,30.0,2.7,,,,,,,,,,,,
133,,29.0,-98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,3.0,1.0,42.0,0.0,3.2,,,,,,,,,,,,
134,,75.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,12.0,3.0,14.0,10.0,1.7,,,,,,,,,,,,
135,,-2.0,-51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,13.0,0.0,26.0,20.0,1.1,,,,,,,,,,,,
136,,-19.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,44.0,22.0,3.0,50.0,1.4,,,,,,,,,,,,
137,,-49.0,-45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,127.0,6.0,37.0,5.0,1.3,,,,,,,,,,,,
138,,3.0,-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,147.0,23.0,29.0,0.0,1.4,,,,,,,,,,,,
139,,-8.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,314.0,7.0,52.0,55.0,1.8,,,,,,,,,,,,
140,,50.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,4.0,11.0,18.0,55.0,1.8,,,,,,,,,,,,
141,,38.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,12.0,8.0,18.0,5.0,1.1,,,,,,,,,,,,
142,,50.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,66.0,10.0,12.0,40.0,2.3,,,,,,,,,,,,
143,,-19.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,68.0,14.0,42.0,10.0,1.8,,,,,,,,,,,,
144,,77.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,137.0,12.0,32.0,40.0,1.5,,,,,,,,,,,,
145,,-3.94,-21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 LM,69.0,324.0,22.0,17.0,17.7,,,,,
146,,-2.75,-27.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 S-IVB,70.0,105.0,1.0,9.0,41.0,,,,,
147,,-8.09,-26.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 S-IVB,71.0,35.0,7.0,40.0,55.4,,,,,
148,,-3.42,-19.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 LM,71.0,38.0,0.0,45.0,26.7,,,,,
149,,-1.51,-11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 S-IVB,71.0,210.0,20.0,58.0,42.9,,,,,
150,,26.36,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 LM,71.0,215.0,3.0,3.0,37.0,,,,,
151,,-4.21,-12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 S-IVB,72.0,345.0,20.0,32.0,42.3,,,,,
152,,19.99,30.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 LM,72.0,350.0,6.0,50.0,20.8,,,,,
153,,-15.7,-36.6,867.0,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,N,2.4,4.6,N
154,,-2.9,-50.3,946.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,N,1.7,6.3,N
155,,1.1,-44.7,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,N,94.2,16.4,Y
156,,43.5,55.5,844.0,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,N,2.9,9.5,N
157,,25.0,53.2,893.0,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,N,1.7,8.0,N
158,,-23.7,-35.5,1086.0,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,N,4.8,6.5,N
159,,-6.0,-19.7,1037.0,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,N,2.4,3.6,N
160,,-35.7,-40.3,988.0,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,N,4.9,6.7,N
161,,9.2,17.5,1187.0,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,N,1.5,4.9,N
162,,-19.1,-41.7,973.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,N,3.0,5.6,N
163,,-29.6,-44.4,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,N,9.3,7.8,Y
164,,0.7,-3.9,747.0,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,N,0.7,0.6,N
165,,7.5,6.3,1019.0,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,N,0.8,1.5,N
166,,25.5,-21.9,807.0,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,N,2.3,2.8,N
167,,23.3,32.7,925.0,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,N,2.4,5.5,N
168,,27.7,34.4,974.0,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,N,3.0,6.4,N
169,,23.7,-31.4,945.0,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,N,2.5,5.3,N
170,,-18.2,-50.8,1037.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,N,3.0,7.2,N
171,,21.6,43.6,788.0,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,N,1.8,5.9,N
172,,35.1,59.8,924.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,N,2.2,9.9,N
173,,14.3,5.2,1122.0,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,N,2.6,2.0,N
174,,23.0,20.4,1085.0,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,N,3.3,4.7,N
175,,8.1,10.3,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,N,1.3,2.6,Y
176,,53.4,60.9,1077.0,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,F,15.2,66.1,N
177,,12.7,-35.7,931.0,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,N,1.2,4.8,N
178,,25.0,43.6,944.0,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,N,2.7,7.3,N
179,,5.1,115.8,877.0,,,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,F,2.6,9.3,N
180,,6.8,-7.2,971.0,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,N,0.7,1.3,N
181,,5.0,36.1,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,N,1.5,11.4,Y
182,,27.5,-4.6,1058.0,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,N,4.7,1.9,N
183,,22.5,29.7,1343.0,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,N,5.5,10.7,N
184,,7.8,43.3,1031.0,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,N,1.3,7.0,N
185,,-21.9,-12.7,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,N,21.1,5.1,Y
186,,-1.3,-10.3,867.0,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,N,1.2,1.5,N
187,,13.8,-29.2,847.0,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,N,1.3,3.9,N
188,,22.2,-50.7,907.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,N,1.5,6.8,N
189,,50.2,60.2,908.0,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,N,2.9,12.0,N
190,,8.6,-50.8,952.0,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,N,4.6,5.6,N
191,,8.7,-53.4,828.0,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,N,1.0,5.0,N
192,,12.3,37.7,1125.0,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,N,1.4,8.0,N
193,,-10.1,-39.2,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,N,39.9,8.1,Y
194,,13.1,-52.4,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,N,30.1,10.8,Y
195,,1.1,-20.6,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,N,1.6,5.0,Y
196,,-9.5,-53.6,750.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,N,17.6,5.9,Y
197,,24.1,-52.2,750.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,N,9.5,8.0,Y
198,,30.1,53.2,975.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,N,2.9,9.8,N
199,,46.6,42.3,861.0,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,N,3.9,8.2,N
200,,34.8,63.0,1014.0,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,N,2.1,11.3,N
201,,-20.9,-16.8,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,N,22.1,6.3,Y
202,,21.1,-44.0,908.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,N,1.7,5.6,N
203,,34.7,60.1,1043.0,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,N,2.5,10.6,N
204,,24.6,-23.4,1419.0,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,N,8.4,11.1,N
205,,27.5,34.3,919.0,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,N,9.9,20.6,N
206,,-40.9,-40.6,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,N,7.5,8.4,Y
207,,6.2,11.9,794.0,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,N,0.6,1.8,N
208,,-8.4,17.9,989.0,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,N,2.9,3.8,N
209,,10.0,22.8,989.0,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,N,1.1,4.2,N
210,,-2.0,32.2,920.0,,,,,,,,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,N,4.2,17.1,N
211,,41.0,53.4,893.0,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,N,2.5,7.7,N
212,,15.5,55.6,755.0,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,N,1.2,7.5,N
213,,-40.6,-3.8,862.0,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,N,14.8,1.6,N
214,,1.0,2.8,919.0,,,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,N,1.7,1.5,N
215,,0.5,47.3,1243.0,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,N,2.0,11.8,N
216,,-28.4,-66.6,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,N,8.9,9.2,Y
217,,-26.5,-35.1,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,N,12.0,7.2,Y
218,,12.8,-36.2,963.0,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,N,1.4,5.6,N
219,,-13.7,-21.6,764.0,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,N,3.9,4.5,N
220,,-2.4,-73.3,878.0,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,F,4.4,32.3,N
221,,36.1,-2.4,863.0,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,N,12.2,1.3,N
222,,-50.7,-21.4,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,N,7.9,5.5,Y
223,,6.3,22.1,855.0,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,N,0.9,9.7,N
224,,34.3,45.0,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,N,12.0,29.9,Y
225,,24.1,26.1,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.0,N,5.1,8.2,Y
226,,36.8,21.2,1006.0,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,N,4.5,4.5,N
227,,-7.8,5.4,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,N,3.5,1.7,Y
228,,12.2,3.5,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,N,1.9,1.5,Y
229,,26.3,20.0,831.0,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,N,8.7,9.8,N
230,,26.7,5.2,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,N,5.6,2.1,Y
231,,-69.4,75.4,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,F,4.4,24.6,Y
232,,58.6,54.2,1025.0,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,N,4.6,15.5,N
233,,7.0,8.3,1019.0,,,,,,,,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,N,1.3,4.1,N
234,,34.6,56.1,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,F,20.9,81.0,Y
235,,8.6,73.0,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,F,4.9,69.5,Y
236,,19.4,24.3,959.0,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,N,2.7,5.1,N
237,,5.3,3.6,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,N,1.1,1.5,Y
238,,-3.4,12.5,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,N,2.5,3.1,Y
239,,-3.6,21.5,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,N,2.8,5.7,Y
240,,-46.5,38.9,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0,N,8.3,9.3,Y
241,,1.4,15.0,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,N,1.6,3.7,Y
242,,35.0,19.1,1063.0,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,N,6.2,5.5,N
243,,-7.1,15.3,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,N,3.5,4.0,Y
244,,3.4,2.0,559.0,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0,N,0.6,0.7,N
245,,-1.7,18.0,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,N,2.3,4.5,Y
246,,-7.6,36.7,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,N,5.0,13.2,Y
247,,53.8,35.2,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,N,6.8,19.2,Y
248,,-50.0,53.2,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,N,7.5,12.2,Y
249,,-3.7,-33.9,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,N,3.6,12.4,Y
250,,4.4,-4.7,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,N,1.2,1.8,Y
251,,2.4,46.1,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,N,2.7,20.2,Y
252,,-53.2,-54.4,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0,N,4.6,11.4,Y
253,,15.5,97.0,1141.0,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,F,2.4,12.3,N
254,,7.1,22.5,984.0,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,N,1.2,4.7,N
255,,42.9,110.9,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,F,3.7,14.2,Y
256,,54.2,56.5,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,N,6.5,14.0,Y
257,,24.8,35.7,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0,N,5.7,13.5,Y
258,,10.6,6.4,933.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,N,1.6,1.9,Y
